Secteurs géographiques;Numéro du quartier;Nom du quartier;Nombre de pièces principales;Epoque de construction;Type de location;Loyers de référence;Loyers de référence majorés;Loyers de référence minorés;Année;Ville;Numéro INSEE du quartier
3;64;Chaillot;1;1946-1970;meublé;31.2;37.4;21.8;2019;PARIS;7511664
5;35;Faubourg-Montmartre;2;1946-1970;non meublé;22.9;27.5;16.0;2019;PARIS;7510935
13;74;Pont-de-Flandre;3;1946-1970;non meublé;16.4;19.7;11.5;2019;PARIS;7511974
13;78;Saint-Fargeau;4;Avant 1946;non meublé;19.7;23.6;13.8;2019;PARIS;7512078
11;71;Goutte-d'Or;3;1971-1990;non meublé;19.4;23.3;13.6;2019;PARIS;7511871
1;23;Notre-Dame-des-Champs;2;1946-1970;meublé;29.3;35.2;20.5;2019;PARIS;7510623
10;49;Salpêtrière;2;1946-1970;meublé;23.6;28.3;16.5;2019;PARIS;7511349
11;71;Goutte-d'Or;3;Avant 1946;non meublé;22.6;27.1;15.8;2019;PARIS;7511871
5;36;Rochechouart;4;1971-1990;non meublé;21.5;25.8;15.1;2019;PARIS;7510936
11;68;Epinettes;3;1971-1990;meublé;21.9;26.3;15.3;2019;PARIS;7511768
9;46;Picpus;3;Apres 1990;non meublé;22.4;26.9;15.7;2019;PARIS;7511246
11;71;Goutte-d'Or;2;Avant 1946;non meublé;23.8;28.6;16.7;2019;PARIS;7511871
9;70;Clignancourt;2;1971-1990;meublé;24.5;29.4;17.2;2019;PARIS;7511870
12;56;Plaisance;4;Avant 1946;meublé;22.4;26.9;15.7;2019;PARIS;7511456
4;7;Mail;3;1971-1990;meublé;25.8;31.0;18.1;2019;PARIS;7510207
11;68;Epinettes;2;Apres 1990;non meublé;24.1;28.9;16.9;2019;PARIS;7511768
10;55;Petit-Montrouge;3;1946-1970;meublé;23.1;27.7;16.2;2019;PARIS;7511455
2;15;Arsenal;3;Apres 1990;non meublé;24.8;29.76;17.36;2021;PARIS;7510415
8;57;Saint-Lambert;3;Apres 1990;non meublé;23.2;27.8;16.2;2019;PARIS;7511557
5;53;Montparnasse;1;Avant 1946;meublé;32.5;39.0;22.8;2019;PARIS;7511453
4;17;Saint-Victor;2;1971-1990;meublé;25.4;30.5;17.8;2019;PARIS;7510517
6;65;Ternes;1;Avant 1946;non meublé;28.0;33.6;19.6;2019;PARIS;7511765
1;26;Invalides;2;1971-1990;meublé;29.8;35.8;20.9;2019;PARIS;7510726
7;61;Auteuil;2;Apres 1990;meublé;28.1;33.7;19.7;2019;PARIS;7511661
4;17;Saint-Victor;1;Apres 1990;meublé;31.7;38.04;22.19;2021;PARIS;7510517
2;22;Odeon;2;Apres 1990;meublé;29.9;35.9;20.9;2019;PARIS;7510622
2;21;Monnaie;3;Apres 1990;meublé;27.8;33.4;19.5;2019;PARIS;7510621
12;56;Plaisance;1;Avant 1946;meublé;33.6;40.3;23.5;2019;PARIS;7511456
1;26;Invalides;4;1946-1970;meublé;25.8;31.0;18.1;2019;PARIS;7510726
4;20;Sorbonne;3;1971-1990;meublé;25.8;31.0;18.1;2019;PARIS;7510520
11;43;Roquette;4;Apres 1990;non meublé;21.1;25.3;14.8;2019;PARIS;7511143
13;75;Amérique;2;Avant 1946;non meublé;21.8;26.2;15.3;2019;PARIS;7511975
11;48;Quinze-Vingts;4;Apres 1990;non meublé;21.1;25.3;14.8;2019;PARIS;7511248
3;32;Europe;2;Apres 1990;meublé;29.6;35.5;20.7;2019;PARIS;7510832
